name,artist,id,added_at,added_by
Handshake with Hell,Arch Enemy,2t5NYzZgq3cf7ck9Eg51ZQ,2022-03-31T21:10:03Z,dcgf1cskgtjkfyutncw14t2eu
Going To Hell,The Pretty Reckless,1Lg55kAU7qG9y9IZ3jTaIG,2019-10-05T16:58:45Z,dcgf1cskgtjkfyutncw14t2eu
Bring Me To Life,Evanescence,0COqiPhxzoWICwFCS4eZcp,2019-10-05T16:56:59Z,dcgf1cskgtjkfyutncw14t2eu
Blood,In This Moment,27ce3PuoDdndLsktG0RvfV,2019-10-05T17:09:32Z,dcgf1cskgtjkfyutncw14t2eu
Breathe in Colours,Forever Still,0OZh83ZjDipgRa923UumCt,2019-10-05T16:57:08Z,dcgf1cskgtjkfyutncw14t2eu
Forever,Yenne,1DVs7nC2lyb2PHrz73f5XP,2023-09-18T12:12:35Z,dcgf1cskgtjkfyutncw14t2eu
My Glorious Fall,Crystal Gates,5vHulUEaVGE60jg7plTiMg,2023-02-27T16:03:35Z,dcgf1cskgtjkfyutncw14t2eu
Everybody's Movin,Mannequin Death Squad,20Y6GnRDC1ELbv9wJnEti5,2024-01-19T04:22:28Z,dcgf1cskgtjkfyutncw14t2eu
Our Truth,Lacuna Coil,6vS5siwSidItcWFXskcpAA,2019-10-05T16:57:16Z,dcgf1cskgtjkfyutncw14t2eu
Betray Your Faith,Soul Drain,6Of1IT3fb7dkJiaORdGUId,2023-10-18T15:28:36Z,dcgf1cskgtjkfyutncw14t2eu
crushcrushcrush,Paramore,3VA4sjTMSTTF02hFGmlpJh,2019-10-05T16:58:49Z,dcgf1cskgtjkfyutncw14t2eu
Barracuda,Heart,4KfSdst7rW39C0sfhArdrz,2019-10-05T17:52:17Z,dcgf1cskgtjkfyutncw14t2eu
War Eternal,Arch Enemy,0WZZENH0kt3O2cBE8q5IRq,2019-10-05T16:59:04Z,dcgf1cskgtjkfyutncw14t2eu
Deadnight,Yenne,7fh76JHonfnZwl6Ss0hG4v,2024-04-13T16:11:08Z,dcgf1cskgtjkfyutncw14t2eu
Let Me Love You,Kobra And The Lotus,5mIq8oobVFL1INwL1Ka6eE,2019-10-05T17:09:21Z,dcgf1cskgtjkfyutncw14t2eu
Dried Moat,Stolen Babies,3VSktqLrhzujMy0lkMhev6,2019-10-05T16:59:34Z,dcgf1cskgtjkfyutncw14t2eu
Black Widow,Opalla,38v4oYArMvobz2QDV9SImm,2023-10-16T18:14:56Z,dcgf1cskgtjkfyutncw14t2eu
Adrenalize,In This Moment,06WohfoFEUa5faNy8f9S5N,2019-10-05T17:09:29Z,dcgf1cskgtjkfyutncw14t2eu
Crazy On You,Heart,5zH710lFSLtkHbMkslLDjR,2019-10-05T17:52:21Z,dcgf1cskgtjkfyutncw14t2eu
Only Happy When It Rains,Garbage,1IsGA5ceSC4a5nxgAEYnQd,2019-10-05T17:52:24Z,dcgf1cskgtjkfyutncw14t2eu
Just A Girl,No Doubt,5lWRaa0fBxDE5yU91npPq7,2019-10-05T17:52:29Z,dcgf1cskgtjkfyutncw14t2eu
The Promise,In This Moment,4K6QbaU4KdvYJAOncr2Iu0,2019-10-05T18:14:14Z,dcgf1cskgtjkfyutncw14t2eu
Love Bites (So Do I),Halestorm,5l3gAGbkXFfPWxh4a3J8mp,2019-10-05T18:14:29Z,dcgf1cskgtjkfyutncw14t2eu
I Get Off,Halestorm,0JKY13K1Io2aqXJb96UyzX,2019-10-05T18:14:35Z,dcgf1cskgtjkfyutncw14t2eu
Raise Hell,Dorothy,2NPHU2WJaI3rrtCNNuQ8L1,2019-10-05T18:14:43Z,dcgf1cskgtjkfyutncw14t2eu
Wicked Ones,Dorothy,1ogRu1dOUgHvel8To8oQbe,2019-10-05T18:14:44Z,dcgf1cskgtjkfyutncw14t2eu
Call Me When You're Sober,Evanescence,663Karu2rvKLdnY0eo1n3M,2019-10-05T18:15:10Z,dcgf1cskgtjkfyutncw14t2eu
That's What You Get,Paramore,1JdKrFyoU05abww0Zv0ayQ,2019-10-05T18:15:17Z,dcgf1cskgtjkfyutncw14t2eu
Stand My Ground,Within Temptation,15z9QEJOBV6hDdWsdZwDKP,2019-10-05T18:15:22Z,dcgf1cskgtjkfyutncw14t2eu
Shut Up,New Years Day,5hc1hrIYxTJQTVZkPUn9Po,2019-10-05T18:15:30Z,dcgf1cskgtjkfyutncw14t2eu
The Wolves,Yenne,6G5JRlCV2b8WSc8rmrz42B,2023-05-23T12:24:57Z,dcgf1cskgtjkfyutncw14t2eu
Haunted,DIAMANTE,1yn1CphEmVt16RnmbDJ5xc,2019-10-05T18:15:36Z,dcgf1cskgtjkfyutncw14t2eu
